Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2019 BMW 3 Series 320d M Sport,,R 659 000,R            12 543     p/m,53 000 km,Used Car,Automatic
2019 BMW 1 Series 118i M Sport,,R 569 000,R            10 830     p/m,35 500 km,Used Car,Automatic
2017 Bentley Bentayga W12,"Melrose North, Johannesburg",R 3 699 999,R            70 426     p/m,28 000 km,Used Car,Automatic
2018 Mercedes-AMG G-Class G63 Edition 1,"Benoni Industrial, Benoni",R 3 699 999,R            70 426     p/m,3 600 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Melrose North, Johannesburg",R 3 699 990,R            70 426     p/m,12 000 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Bryanston, Sandton",R 3 699 950,R            70 425     p/m,33 032 km,Used Car,Automatic
2020 Mercedes-AMG G-Class G63,"Sandton Central, Sandton",R 3 699 950,R            70 425     p/m,34 000 km,Used Car,Automatic
,,,,34 000 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Barbeque Downs, Midrand",R 3 699 950,R            70 425     p/m,27 000 km,Used Car,Automatic
2004 Porsche 911 GT3 RS (996),"Lonehill, Sandton",R 3 695 000,R            70 331     p/m,64 000 km,Used Car,Manual
2022 Land Rover Range Rover Sport SVR,"Morningside, Sandton",R 3 664 868,R            69 757     p/m,64 000 km,Used Car,Manual
2022 Land Rover Range Rover Sport SVR,"Morningside, Sandton",R 3 630 950,R            69 112     p/m,64 000 km,Used Car,Manual
2022 Land Rover Range Rover Sport SVR Carbon Edition,"Morningside, Sandton",R 3 599 995,R            68 523     p/m,200 km,Used Car,Automatic
2022 Kia Picanto 1.0 Start,,R 189 999,R            3 616     p/m,2 500 km,Demo,Manual
2019 Nissan Almera 1.5 Acenta Auto,,R 189 990,R            3 616     p/m,52 000 km,Used Car,Automatic
2022 Honda CR-V 1.5T Exclusive AWD,,R 799 900,R            15 225     p/m,350 km,Used Car,Automatic
2017 Bentley Bentayga W12,"Morningside, Sandton",R 3 599 995,R            68 523     p/m,38 000 km,Used Car,Automatic
2022 Land Rover Defender 110 V8,"Morningside, Sandton",R 3 599 995,R            68 523     p/m,100 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR Carbon Edition,"Morningside, Sandton",R 3 599 995,R            68 523     p/m,100 km,Used Car,Automatic
2012 Ferrari 458 Italia,"Barbeque Downs, Midrand",R 3 599 950,R            68 522     p/m,15 000 km,Used Car,Automatic
2022 Audi RS E-Tron GT Quattro,"Sandown, Sandton",R 3 577 900,R            68 102     p/m,15 000 km,Used Car,Automatic
2022 Audi RS E-Tron GT Quattro,"Sunninghill, Sandton",R 3 564 900,R            67 855     p/m,15 000 km,Used Car,Automatic
2022 Audi RS E-Tron GT Quattro,"Sunninghill, Sandton",R 3 549 950,R            67 570     p/m,1 200 km,Demo,Automatic
2020 Mercedes-AMG G-Class G63 Stronger Than Time,"Beyers Park, Boksburg",R 3 529 950,R            67 189     p/m,31 522 km,Used Car,Automatic
2020 Mercedes-AMG G-Class G63 Stronger Than Time,"Bardene, Boksburg",R 3 529 950,R            67 189     p/m,31 522 km,Used Car,Automatic
,,,,31 522 km,Used Car,Automatic
2022 Audi RS E-Tron GT Quattro,"Centurion Central, Centurion",R 3 527 200,R            67 137     p/m,31 522 km,Used Car,Automatic
2016 Audi Q3 1.4TFSI S Auto,,R 349 900,R            6 660     p/m,85 000 km,Used Car,Automatic
2019 Toyota Corolla Quest 1.6,,R 209 900,R            3 995     p/m,47 000 km,Used Car,Manual
2020 Kia Grand Sedona 2.2CRDi SXL,,R 599 900,R            11 419     p/m,55 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Bedfordview, Bedfordview",R 3 500 000,R            66 619     p/m,55 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Bedfordview, Bedfordview",R 3 500 000,R            66 619     p/m,55 000 km,Used Car,Automatic
1960 Bentley S1 4.1,"Parkmore, Sandton",POA,,46 907 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63 Edition 1,"Bryanston, Sandton",R 3 499 999,R            66 619     p/m,25 000 km,Used Car,Automatic
2016 Porsche 911 GT3 RS,"Morningside, Sandton",R 3 499 995,R            66 619     p/m,2 000 km,Used Car,Automatic
2022 Mercedes-AMG GLE GLE63 S 4Matic+,"Morningside, Sandton",R 3 499 995,R            66 619     p/m,800 km,Used Car,Automatic
2020 BMW X5 M50i,"Melrose Arch, Johannesburg",R 3 499 990,R            66 619     p/m,25 500 km,Used Car,Automatic
2022 Nissan Patrol 5.6 V8 LE 4WD,"Melrose Arch, Johannesburg",R 3 499 990,R            66 619     p/m,20 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63 Edition 1,"Woodmead, Sandton",R 3 499 950,R            66 618     p/m,18 000 km,Used Car,Automatic
2021 Mercedes-AMG GLS GLS63 4Matic+,"Sandton Central, Sandton",R 3 499 950,R            66 618     p/m,8 000 km,Used Car,Automatic
2016 Volkswagen Polo Hatch 1.2TSI Comfortline,,R 199 900,R            3 805     p/m,57 658 km,Used Car,Manual
2020 Nissan NP300 Hardbody 2.5TDi Double Cab Hi-Rider,,R 329 900,R            6 279     p/m,26 000 km,Used Car,Manual
2021 Toyota Corolla Quest 1.8 Auto,,R 319 990,R            6 091     p/m,24 200 km,Used Car,Automatic
2017 Mercedes-AMG GT GT C Roadster GT Edition 50,"Newlands, Pretoria",R 3 499 900,R            66 617     p/m,1 800 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63 Edition 1,"Melrose North, Johannesburg",R 3 499 900,R            66 617     p/m,35 000 km,Used Car,Automatic
2022 Audi R8 Spyder V10 Performance Quattro,"Sandton Central, Sandton",R 3 499 900,R            66 617     p/m,3 000 km,Used Car,Automatic
1998 Porsche 911 Turbo (993),"Melrose North, Johannesburg",R 3 499 000,R            66 600     p/m,63 843 km,Used Car,Manual
2022 Land Rover Range Rover Sport HSE Dynamic Supercharged,"Kramerville, Sandton",R 3 499 000,R            66 600     p/m,80 km,Used Car,Automatic
,,,,80 km,Used Car,Automatic
2022 Land Rover Defender 90 V8,"Kramerville, Sandton",R 3 499 000,R            66 600     p/m,1 500 km,Used Car,Automatic
2022 Mercedes-Benz G-Class G400d AMG Line,"Ormonde, Johannesburg",R 3 479 900,R            66 237     p/m,1 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Morningside, Sandton",R 3 474 868,R            66 141     p/m,1 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Bedfordview, Bedfordview",R 3 450 000,R            65 668     p/m,1 000 km,Used Car,Automatic
2022 Mercedes-AMG GLE GLE63 S 4Matic+,"Morningside, Sandton",R 3 449 995,R            65 667     p/m,800 km,Used Car,Automatic
2022 Lexus RX 350 EX,,R 1 183 000,R            22 517     p/m,800 km,Used Car,Automatic
2022 Lexus ES 300h SE,,R 976 900,R            18 594     p/m,800 km,Used Car,Automatic
2022 Lexus RX 350 EX,,R 1 183 000,R            22 517     p/m,800 km,Used Car,Automatic
2022 Audi RS E-Tron GT Quattro,"Waterkloof Glen, Pretoria",R 3 449 995,R            65 667     p/m,800 km,Used Car,Automatic
2022 Land Rover Defender 90 V8,"Morningside, Sandton",R 3 399 995,R            64 716     p/m,1 800 km,Used Car,Automatic
2021 Nissan Patrol 5.6 V8 LE 4WD,"Melrose Arch, Johannesburg",R 3 399 990,R            64 716     p/m,10 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63,"Sandton Central, Sandton",R 3 399 950,R            64 715     p/m,23 650 km,Used Car,Automatic
2018 Bentley Bentayga V8,"Kramerville, Sandton",R 3 399 000,R            64 697     p/m,24 000 km,Used Car,Automatic
2021 Maserati Quattroporte GTS,"Bryanston, Sandton",R 3 349 999,R            63 764     p/m,3 000 km,Used Car,Automatic
2022 Mercedes-AMG GLE GLE63 S 4Matic+,"Bryanston, Sandton",R 3 299 999,R            62 812     p/m,200 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63 Edition 1,"Kensington B, Randburg",R 3 299 950,R            62 812     p/m,25 000 km,Used Car,Automatic
2021 Mercedes-Benz G-Class G400d Stronger Than Time,"Sandton Central, Sandton",R 3 299 950,R            62 812     p/m,6 300 km,Used Car,Automatic
2015 Porsche 911 GT3 RS,"Edenvale Central, Edenvale",R 3 299 900,R            62 811     p/m,4 562 km,Used Car,Automatic
2019 Ford Ranger 3.2TDCi Double Cab Hi-Rider XLT Auto,,R 339 999,R            6 472     p/m,48 000 km,Used Car,Automatic
2014 Audi Q5 2.0TFSI SE Quattro,,R 339 900,R            6 470     p/m,110 000 km,Used Car,Automatic
2022 Honda Ballade 1.5 RS,,R 379 900,R            7 231     p/m,8 850 km,Used Car,Automatic
2020 Mercedes-Maybach S-Class S560,"Morningside, Sandton",R 3 299 000,R            62 793     p/m,8 600 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Waterford Estates, Randburg",R 3 299 000,R            62 793     p/m,8 600 km,Used Car,Automatic
2016 Bentley Bentayga W12,"Kramerville, Sandton",R 3 299 000,R            62 793     p/m,34 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Bedfordview, Bedfordview",R 3 295 900,R            62 734     p/m,34 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Bedfordview, Bedfordview",R 3 295 900,R            62 734     p/m,34 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Oakdene, Johannesburg",R 3 249 900,R            61 859     p/m,81 km,Used Car,Automatic
,,,,81 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Benoni Industrial, Benoni",R 3 199 999,R            60 909     p/m,2 500 km,Used Car,Automatic
2018 Maserati Quattroporte GTS,"Bryanston, Sandton",R 3 199 999,R            60 909     p/m,1 000 km,Used Car,Automatic
2022 Audi RSQ8 Quattro,"Morningside, Sandton",R 3 199 995,R            60 909     p/m,100 km,Used Car,Automatic
2022 Mercedes-AMG GLE GLE63 S 4Matic+,"Sandton Central, Sandton",R 3 199 950,R            60 908     p/m,5 500 km,Used Car,Automatic
2016 BMW 5 Series 520d M Sport,,R 399 900,R            7 612     p/m,62 000 km,Used Car,Automatic
1989 Mercedes-Benz Gelandewagen GE280,,R 599 900,R            11 419     p/m,71 000 km,Used Car,Manual
2013 BMW X3 xDrive20d,,R 279 900,R            5 328     p/m,132 000 km,Used Car,Automatic
2019 Land Rover Range Rover SVAutobiography Dynamic Supercharged,"Lonehill, Sandton",R 3 199 900,R            60 907     p/m,49 000 km,Used Car,Automatic
2022 Audi RSQ8 Quattro,"Lonehill, Sandton",R 3 199 900,R            60 907     p/m,100 km,Used Car,Automatic
2017 McLaren 570 S Coupe,"Vorna Valley, Midrand",R 3 199 900,R            60 907     p/m,14 000 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63,"Bryanston, Sandton",R 3 199 500,R            60 900     p/m,20 063 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Kramerville, Sandton",R 3 199 000,R            60 890     p/m,8 000 km,Used Car,Automatic
2006 Rolls-Royce Phantom Phantom,"Edenvale Central, Edenvale",R 3 150 000,R            59 957     p/m,43 617 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Waterford Estates, Randburg",R 3 149 000,R            59 938     p/m,43 617 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Waterford Estates, Randburg",R 3 145 000,R            59 862     p/m,43 617 km,Used Car,Automatic
2019 Land Rover Range Rover SVAutobiography Dynamic Supercharged,"Morningside, Sandton",R 3 129 900,R            59 575     p/m,49 500 km,Used Car,Automatic
2021 Audi R8 Coupe V10 Performance Quattro,"Sandton Central, Sandton",R 3 100 000,R            59 006     p/m,2 200 km,Used Car,Automatic
2013 Mercedes-Benz G-Class G350 BlueTec,,R 829 900,R            15 796     p/m,92 293 km,Used Car,Automatic
2020 Suzuki Baleno 1.4 GLX Auto,,R 229 995,R            4 378     p/m,88 897 km,Used Car,Automatic
2020 Renault Captur 66kW Turbo Blaze,,R 199 800,R            3 803     p/m,45 571 km,Used Car,Manual
2021 Mercedes-AMG GLE GLE63 S Coupe 4Matic+,"Sandton Central, Sandton",R 3 049 950,R            58 053     p/m,10 000 km,Used Car,Automatic
1958 Mercedes-Benz 220 S Ponton Cabriolet,"Needwood, Randburg",R 2 999 999,R            57 102     p/m,31 500 km,Used Car,Manual
2022 Audi RSQ8 Quattro,"Benoni Industrial, Benoni",POA,,100 km,Used Car,Automatic
2022 Audi RSQ8 TFSI quattro,"Melrose North, Johannesburg",R 2 999 999,R            57 102     p/m,250 km,Used Car,Automatic
2017 Mercedes-AMG S-Class S65 L,"Benoni Industrial, Benoni",R 2 999 999,R            57 102     p/m,26 000 km,Used Car,Automatic
1970 Mercedes-Benz 280 SL Pagoda Auto,"Benoni Industrial, Benoni",R 2 999 999,R            57 102     p/m,52 000 km,Used Car,Automatic
2015 Mercedes-Benz SLS AMG Roadster,"Benoni Industrial, Benoni",R 2 999 999,R            57 102     p/m,3 000 km,Used Car,Automatic
2021 Mercedes-Benz V-Class V300d Exclusive,"Benoni Industrial, Benoni",POA,,20 800 km,Used Car,Automatic
2022 Land Rover Range Rover Sport V8 HSE,"Morningside, Sandton",R 2 999 995,R            57 102     p/m,3 700 km,Used Car,Automatic
2020 Mercedes-Benz G-Class G400d Stronger Than Time,"Morningside, Sandton",R 2 999 995,R            57 102     p/m,10 000 km,Used Car,Automatic
2013 Audi R8 4.2 Spyder Quattro,,R 1 099 995,R            20 937     p/m,45 000 km,Used Car,Automatic
2018 Porsche Cayman Cayman Auto,,R 999 995,R            19 034     p/m,39 000 km,Used Car,Automatic
2018 Jeep Wrangler 3.6L Sahara,,R 899 995,R            17 131     p/m,9 000 km,Used Car,Automatic
2022 Audi RSQ8 Quattro,"Morningside, Sandton",R 2 999 995,R            57 102     p/m,100 km,Used Car,Automatic
2022 Lexus LX 600 F Sport,"Morningside, Sandton",R 2 999 995,R            57 102     p/m,100 km,Used Car,Automatic
2015 Ferrari California T,"Melrose North, Johannesburg",R 2 999 995,R            57 102     p/m,5 850 km,Used Car,Automatic
2022 Mercedes-Benz V-Class V300d Exclusive,"Melrose Arch, Johannesburg",R 2 999 990,R            57 102     p/m,50 km,Used Car,Automatic
2021 BMW X5 M competition,"Cresta, Randburg",R 2 999 990,R            57 102     p/m,1 500 km,Used Car,Automatic
,,,,1 500 km,Used Car,Automatic
2022 Audi RSQ8 TFSI quattro,"Beyers Park, Boksburg",R 2 999 950,R            57 101     p/m,863 km,Used Car,Automatic
2022 Audi RSQ8 TFSI quattro,"Bardene, Boksburg",R 2 999 950,R            57 101     p/m,863 km,Used Car,Automatic
2004 Ferrari 575 Maranello,"Paulshof, Sandton",R 2 999 950,R            57 101     p/m,9 000 km,Used Car,Automatic
2017 Aston Martin Vanquish Coupe,"Paulshof, Sandton",R 2 999 950,R            57 101     p/m,11 500 km,Used Car,Automatic
2017 McLaren 570 S Coupe,"Bedfordview, Bedfordview",R 2 999 950,R            57 101     p/m,16 500 km,Used Car,Automatic
2018 Land Rover Range Rover Sport SVR,,R 2 150 000,R            40 923     p/m,40 411 km,Used Car,Automatic
2014 Ford Figo 1.4 Ambiente,,R 74 900,R            1 426     p/m,157 000 km,Used Car,Manual
2020 Ford EcoSport 1.0T Trend Auto,,R 309 500,R            5 891     p/m,19 885 km,Used Car,Automatic
2017 Mercedes-AMG GT GT R Coupe,"Barbeque Downs, Midrand",R 2 999 950,R            57 101     p/m,6 000 km,Used Car,Automatic
2022 Audi RSQ8 TFSI quattro,"Bardene, Boksburg",R 2 999 950,R            57 101     p/m,863 km,Used Car,Automatic
2022 Audi RSQ8 TFSI quattro,"Beyers Park, Boksburg",R 2 999 950,R            57 101     p/m,863 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR Carbon Edition,"Highveld Business Park, Centurion",R 2 999 900,R            57 100     p/m,4 000 km,Used Car,Automatic
2007 Ferrari 599 GTB,"Vorna Valley, Midrand",R 2 999 900,R            57 100     p/m,9 800 km,Used Car,Automatic
,,,,9 800 km,Used Car,Automatic
2017 Porsche 911 Turbo S Coupe,"Vorna Valley, Midrand",R 2 999 900,R            57 100     p/m,4 300 km,Used Car,Automatic
2019 Mercedes-Maybach S-Class S560,"Bryanston, Sandton",R 2 999 900,R            57 100     p/m,12 273 km,Used Car,Automatic
2012 Lamborghini Gallardo LP570-4 Spyder Performante Auto,"Zwartkop, Centurion",R 2 999 900,R            57 100     p/m,47 000 km,Used Car,Automatic
2022 Toyota Land Cruiser Prado 2.8GD VX-L,"Ormonde, Johannesburg",POA,,1 000 km,Used Car,Automatic
2022 Audi RSQ8 Quattro,"Sandton Central, Sandton",R 2 999 900,R            57 100     p/m,3 000 km,Used Car,Automatic
2017 Mazda CX-5 2.0 Dynamic,,R 339 800,R            6 468     p/m,43 128 km,Used Car,Manual
2022 Suzuki Swift 1.2 GA,,R 172 500,R            3 283     p/m,12 318 km,Used Car,Manual
2014 Audi A3 Sportback 1.6TDI S,,R 219 800,R            4 184     p/m,111 855 km,Used Car,Automatic
2022 Audi RS E-Tron GT Quattro,"Sandton Central, Sandton",R 2 999 900,R            57 100     p/m,9 500 km,Used Car,Automatic
2010 Lamborghini Gallardo LP570-4 Superleggera,"Paulshof, Sandton",R 2 999 000,R            57 083     p/m,21 300 km,Used Car,Automatic
2022 Mercedes-Benz GLS GLS580 4Matic,"Kramerville, Sandton",R 2 999 000,R            57 083     p/m,200 km,Used Car,Automatic
2014 Ford F150 Raptor 4x4,"Kramerville, Sandton",R 2 999 000,R            57 083     p/m,2 800 km,Used Car,Automatic
2022 BMW X6 M competition,"Kramerville, Sandton",R 2 999 000,R            57 083     p/m,6 500 km,Used Car,Automatic
2019 Bentley Bentayga V8,"Birnam, Johannesburg",R 2 995 000,R            57 007     p/m,33 150 km,Used Car,Automatic
2006 Ferrari F430 Spider,"Laser Park, Roodepoort",R 2 995 000,R            57 007     p/m,21 000 km,Used Car,Manual
2018 Mercedes-AMG GT GT R Coupe,"Sandton Central, Sandton",R 2 989 950,R            56 911     p/m,11 500 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Jansenpark, Boksburg",R 2 989 900,R            56 910     p/m,1 000 km,Demo,Automatic
2022 Audi RSQ8 Quattro,"Bruma, Johannesburg",R 2 950 000,R            56 151     p/m,100 km,Used Car,Automatic
2020 Ford Ranger 2.0Bi-Turbo Double Cab Hi-Rider Wildtrak,,R 639 950,R            12 181     p/m,55 000 km,Used Car,Automatic
2021 Suzuki Swift 1.2 GA,,R 174 900,R            3 329     p/m,27 888 km,Used Car,Manual
2017 BMW X6 M,,R 1 099 000,R            20 918     p/m,28 028 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR,"Morningside, Sandton",R 2 949 000,R            56 131     p/m,5 500 km,Used Car,Automatic
,,,,5 500 km,Used Car,Automatic
2022 Audi RSQ8 Quattro,"Benoni Industrial, Benoni",R 2 899 999,R            55 199     p/m,300 km,Used Car,Automatic
2022 Land Rover Defender 110 V8 Carpathian Edition,"Morningside, Sandton",R 2 899 995,R            55 199     p/m,100 km,Used Car,Automatic
2016 Ferrari California T,"Morningside, Sandton",R 2 899 995,R            55 199     p/m,5 000 km,Used Car,Automatic
2022 Land Rover Defender 110 V8,"Morningside, Sandton",R 2 899 995,R            55 199     p/m,6 700 km,Used Car,Automatic
